Symbol,D10_LEC_118_3d,D10_LEC_4G4_3d,D10_LEC_AD2_3d,D10_LEC_IgG1_3d,D10_LEC_IgG2b_3d,D10_LEC_siCD73_3d,D10_LEC_siCtrl_3d,D10_LEC_Untouched_3d,D11_LEC_118_3d,D11_LEC_4G4_3d,D11_LEC_AD2_3d,D11_LEC_IgG1_3d,D11_LEC_IgG2b_3d,D11_LEC_siCD73_3d,D11_LEC_siCtrl_3d,D11_LEC_Untouched_3d,D12_LEC_118_3d,D12_LEC_4G4_3d,D12_LEC_AD2_3d,D12_LEC_IgG1_3d,D12_LEC_IgG2b_3d,D12_LEC_siCD73_3d,D12_LEC_siCtrl_3d,D12_LEC_Untouched_3d,D17_LEC_118_3d,D17_LEC_4G4_3d,D17_LEC_AD2_3d,D17_LEC_IgG1_3d,D17_LEC_IgG2b_3d,D17_LEC_siCD73_3d,D17_LEC_siCtrl_3d,D17_LEC_Untouched_3d
MAML3,800.6336706349758,862.5548207776969,703.2392446146299,770.9051091243253,730.4968711284318,1033.6334535167173,963.7295534877461,844.8046000886396,478.339687152338,630.0944757273302,491.85943952285197,447.03212853350885,470.167182445538,719.7148623737036,634.5361085611615,523.4238116513136,689.9006369853806,809.0751151696843,625.520227078024,779.0313059807658,704.4818534593421,801.9230948629579,873.6351088049084,733.9350514784417,568.1693170317591,714.8888601404469,588.1507596699333,612.4980554397006,581.295395948708,983.5439052591721,796.6371003559731,614.1607495072725
MIB1,1480.5459058683762,1530.0482245690648,1447.3523052351773,1481.3293724508405,1489.4546593138157,1566.4932715713444,1697.351665449535,1369.6744737911802,1503.8576142206346,1343.9533573859155,1457.948947976339,1373.1660817779305,1391.0171415776097,1573.4942579346655,1690.2409207579478,1216.454909910671,1399.2350947309128,1408.2066264030489,1648.8608496198958,1262.8691350316,1505.8707934069091,1549.0564130582602,1788.4441087702883,1615.9638225430376,1445.5095273409431,1444.715696462933,1619.651677044035,1603.8954553941064,1276.8793782195348,1358.8551184367116,1719.2457689196835,1531.5426949113132
MIB2,177.66550870420517,157.85316981552623,179.21596248748392,146.23726894395867,155.58634657800366,202.83051138853546,173.19914953566683,138.58923631471575,161.50583533003294,198.24242737063713,151.61258709306549,183.67189628876775,210.0927229666548,186.98474365591318,152.14023655560013,184.20923843522624,201.14004486756872,160.42860300794229,131.73438534000226,247.15903541766448,192.72532930804257,239.08266182249676,112.2924304376489,119.78168495938958,164.07753546740537,182.45670908062155,109.82068126617013,137.47675331949483,200.99027249751938,413.9849681653888,165.00501187774051,125.69896848084213
MYC,1717.4332508073164,1760.0628434431173,1582.550312023981,1655.550316316174,1640.2975197156607,1229.5883543497093,1866.839404638009,1640.9555321093471,1332.6437778598347,1289.9718513413288,1489.6818150423294,1618.0619434962875,1530.7965741965534,1330.0612897788542,1576.1357433412477,1347.872476355314,1565.3942622302088,1396.3230261802385,1471.7609805866477,1864.6096841579988,1615.844003916018,1608.8270785138845,1735.2923583631343,1403.6235628423015,1750.6123825489285,1628.2394038422717,1608.2628656534691,1725.724448173171,1787.2370309338244,1693.734678672408,2010.2223490051615,1533.7479399723807
NCOR1,3000.9526630485934,2881.947871774893,2849.63860820742,2866.0699314633875,2857.47607251797,3103.1922307353334,2927.0656271527696,2824.8614550956954,3102.1476021041844,3139.3037911791503,3030.488804802088,2793.9508033344305,3012.458559957357,3206.9647544004733,2849.846382309778,3082.1350625991513,2932.5635527068716,2808.4908526575578,2976.673660795283,2533.5984514015713,2795.0616968008208,2796.7690544444154,2772.87441560701,2738.6448879351346,2729.6535445941076,2551.1929322325504,2768.294654435385,2757.358946660112,2426.661966477403,2357.3411563048253,2475.9623018858806,2812.790075391476
NCOR2,1659.350296038634,1775.8481604246701,1773.294786718262,1608.6099583835453,1641.2462169508924,1642.1249876823238,1677.557476931173,1589.3531568857827,963.7397386906883,1249.0203639971596,967.8524455127088,1283.7596560712286,1223.2818224348773,1143.076546122941,804.3023481323495,1051.340531557145,1784.9964368199214,1794.4236336443914,1234.4646043450543,2164.1699284981364,1746.5052441248604,1859.1167401093107,1185.0594492186547,1202.1725472287826,1478.0538318964616,1674.1203306871064,1116.917002803345,1326.706554392198,1702.5058376260465,2798.573542757108,1359.0735386919273,1150.035299346652
NCSTN,3256.062111444375,3001.4652717780773,3330.69198120014,3331.8627140256262,3261.621094726687,4120.782592955782,3377.383415945503,3217.0395067947848,3080.9665089461473,2903.8327389501774,2996.111532147265,2977.622699623198,3064.134592622542,3971.3677945032628,3085.47821209711,3145.0357781623993,3475.738842953108,3738.382570092482,3563.8077093636375,3548.4351975334657,3267.619848889468,3841.5104777208467,3429.4108255657975,3823.2135990219713,3931.0807877686625,4307.472131920872,4264.296379238991,4195.83521919824,4139.0202684415635,5249.962239600568,4372.632814760124,4513.034017474446
NEURL2,10.249933194473375,10.147703773855257,12.576558771051504,12.637788674169267,18.025247469402863,16.04309129626834,8.659957476783342,11.057651833620938,13.238183223773191,17.683596807709414,14.103496473773534,21.3797974516026,19.48440575900428,16.46406547913701,8.349159323173177,17.971633018070854,11.660292456090941,13.86420025994563,11.341370923311453,22.70719053307165,15.243811357698284,13.697444166913877,11.97785924668255,16.333866130825854,16.27215227775921,13.870977883322105,10.575324862668234,6.706183088755846,11.822957205736435,34.27901010286659,15.968226955910374,11.026225305337029
NEURL4,518.1910670539316,514.1503245419997,505.1584439705687,528.079026742073,491.42516785003596,677.2476397210421,480.00907157027666,530.767288013805,441.2727741257731,456.9813701360696,446.90454451269886,513.1151388384624,491.3458843574992,546.842174842765,389.62743508141494,493.096680933319,481.9587548517589,445.63500835539526,409.16176638715933,541.4791588655547,447.5147477152853,631.3276538750305,369.8164042413237,411.6134264968115,520.7088728882948,544.1691323457134,473.44915923637785,468.31511903144985,504.44617411142116,689.9749469423147,466.62707660049205,417.8939390722734
NOTCH1,2626.260660717289,2530.1608076145776,2666.230459462919,2463.466092271995,2636.429616708977,2635.65071295837,2387.673990027407,2394.350210373387,2261.964240168713,3062.054394598104,2330.6027922910766,3077.719024055701,3050.580223398887,2293.209120308369,1932.3665411299698,2896.8025971002958,2656.6032979127194,2374.739444524973,1743.0814695981755,2932.7209926944074,2550.0718714092413,2311.1323976174685,1494.237941023648,1634.475537491307,2004.1867555440094,2246.031418799464,1529.3546724474063,1687.7227440035545,2237.49465118562,3706.5278359945746,1818.603625534237,1615.3420072318747
NOTCH2,4227.528001987241,4165.0686378468135,4182.75383793888,4396.1450602288805,4007.297121618826,3571.879683604887,5192.263075722812,3934.3125224023297,556.8862409467256,521.2007480166985,580.8877610135474,589.8880478692171,532.856140104943,665.6186472279677,883.1555195178739,507.6986327605016,1822.892387302217,1819.1811341085802,1884.4123995655953,1874.2165724604522,1854.3007672971555,1662.371632984548,2051.9570121973043,1785.8360303036266,485.45254295314976,437.46930247400485,453.92548256683654,498.4929429308512,371.4379055468863,470.23770269316987,665.3427898295989,411.27820388907116
NOTCH3,10.249933194473375,3.382567924618419,11.528512206797211,3.610796764048362,5.692183411390378,2.2918701851811916,7.422820694385721,2.2115303667241877,24.71127535104329,68.87295598792088,37.02167824365552,35.95693207769528,31.34447882970253,4.70401870832486,38.03505913890003,30.327130717994564,13.603674532106098,22.776900427053533,16.575849810993663,20.960483568989215,11.977280352477223,9.961777575937365,5.988929623341275,6.533546452330341,14.916139587945944,32.00994896151255,17.083217085848688,17.88315490334892,29.557393014341084,17.578979539931584,20.403845554774367,9.923602774803326
NOTCH4,3766.2810082359388,3600.1797944355376,3771.919584751197,3741.6881467451153,3691.3809422866602,4472.584666381095,3296.969525089658,3576.0446029930113,1851.5805602317437,2341.68050358931,1531.1108359340392,1669.5678191751483,2072.9713431427595,1602.894374861696,1256.0846359529426,2093.6952466052544,1573.1677905342694,1822.1520341642827,1365.3265765371095,1858.4962097837104,1663.753125325927,1368.4991944943956,852.673855123214,1495.0932131749264,1516.0221872112331,1784.0211554549662,1335.7448788077877,1371.4144416505703,1591.1729906053617,1667.3662093625107,1210.0367537700972,1195.2428230985338
